Name,births,domain
James,688,james.ie
Jack,684,jack.ie
Conor,558,conor.ie
Daniel,558,daniel.ie
Sean,501,sean.ie
Emily,490,emily.ie
Grace,452,grace.ie
Noah,446,noah.ie
Adam,400,adam.ie
Oisin,398,oisin.ie
Michael,394,michael.ie
Ava,388,ava.ie
Lucy,388,lucy.ie
Luke,375,luke.ie
Harry,374,harry.ie
Sophie,369,sophie.ie
Amelia,369,amelia.ie
Charlie,369,charlie.ie
Emma,365,emma.ie
Mia,357,mia.ie
Hannah,351,hannah.ie
Cian,344,cian.ie
Lily,334,lily.ie
Liam,333,liam.ie
Ella,331,ella.ie
Thomas,328,thomas.ie
Saoirse,324,saoirse.ie
Darragh,322,darragh.ie
Alex,320,alex.ie
Patrick,319,patrick.ie
Ryan,318,ryan.ie
Finn,314,finn.ie
Fionn,308,fionn.ie
Olivia,303,olivia.ie
Kate,302,kate.ie
Aoife,300,aoife.ie
Cillian,298,cillian.ie
Sarah,290,sarah.ie
Chloe,288,chloe.ie
Anna,288,anna.ie
Dylan,286,dylan.ie
Aaron,271,aaron.ie
John,269,john.ie
Jamie,267,jamie.ie
Caoimhe,256,caoimhe.ie
Ellie,254,ellie.ie
David,253,david.ie
Katie,251,katie.ie
Ben,250,ben.ie
Matthew,247,matthew.ie
Oliver,244,oliver.ie
Sophia,243,sophia.ie
Holly,239,holly.ie
Fiadh,235,fiadh.ie
Rian,231,rian.ie
Tadhg,228,tadhg.ie
Jake,225,jake.ie
Lauren,224,lauren.ie
Zoe,219,zoe.ie
Evan,216,evan.ie
Max,214,max.ie
Molly,210,molly.ie
Isabelle,202,isabelle.ie
Robyn,201,robyn.ie
Tom,197,tom.ie
Jacob,195,jacob.ie
Samuel,193,samuel.ie
Nathan,192,nathan.ie
Leah,191,leah.ie
Kyle,191,kyle.ie
Sadie,190,sadie.ie
Ethan,190,ethan.ie
Sam,190,sam.ie
Roisin,186,roisin.ie
Ruby,186,ruby.ie
Mason,186,mason.ie
Cara,181,cara.ie
Alice,181,alice.ie
Joshua,179,joshua.ie
Leo,179,leo.ie
Oscar,172,oscar.ie
Freya,168,freya.ie
Eva,166,eva.ie
Erin,165,erin.ie
Bobby,165,bobby.ie
Callum,162,callum.ie
Alexander,160,alexander.ie
Ciara,158,ciara.ie
Evie,158,evie.ie
Niamh,157,niamh.ie
Sofia,156,sofia.ie
William,155,william.ie
Joseph,153,joseph.ie
Aidan,152,aidan.ie
Charlotte,151,charlotte.ie
Ollie,150,ollie.ie
Alfie,149,alfie.ie
Layla,135,layla.ie
Eoin,135,eoin.ie
Amy,133,amy.ie
Eabha,133,eabha.ie
Faye,132,faye.ie
Robert,132,robert.ie
Jessica,131,jessica.ie
Logan,131,logan.ie
Julia,128,julia.ie
Eve,128,eve.ie
Benjamin,128,benjamin.ie
Leon,128,leon.ie
Odhran,128,odhran.ie
Senan,128,senan.ie
Clodagh,127,clodagh.ie
Jayden,125,jayden.ie
Lucas,123,lucas.ie
Shane,119,shane.ie
Cathal,116,cathal.ie
Abigail,114,abigail.ie
Isla,113,isla.ie
Laura,112,laura.ie
Tommy,110,tommy.ie
Maria,109,maria.ie
Maya,109,maya.ie
Sadhbh,108,sadhbh.ie
Zara,108,zara.ie
Amber,107,amber.ie
Millie,107,millie.ie
Emilia,107,emilia.ie
Isabella,103,isabella.ie
Scott,103,scott.ie
Donnacha,101,donnacha.ie
Eoghan,101,eoghan.ie
Aoibhinn,100,aoibhinn.ie
Danny,100,danny.ie
Ellen,99,ellen.ie
Ronan,99,ronan.ie
Andrew,98,andrew.ie
Mark,98,mark.ie
Abbie,97,abbie.ie
Elizabeth,97,elizabeth.ie
Clara,97,clara.ie
Harper,97,harper.ie
Rory,97,rory.ie
Alannah,96,alannah.ie
Henry,94,henry.ie
Tyler,94,tyler.ie
Kayla,92,kayla.ie
Sienna,91,sienna.ie
Billy,91,billy.ie
Willow,90,willow.ie
Megan,89,megan.ie
Josh,88,josh.ie
Louis,88,louis.ie
Shay,88,shay.ie
Rachel,87,rachel.ie
Daithi,87,daithi.ie
Kevin,87,kevin.ie
Rebecca,86,rebecca.ie
Maisie,86,maisie.ie
Cormac,85,cormac.ie
Muhammad,85,muhammad.ie
Tomas,85,tomas.ie
Aisling,84,aisling.ie
Rose,84,rose.ie
Anthony,84,anthony.ie
Aine,83,aine.ie
Killian,83,killian.ie
Martin,83,martin.ie
Aoibheann,82,aoibheann.ie
Hugo,82,hugo.ie
Annie,81,annie.ie
Ciaran,81,ciaran.ie
Edward,81,edward.ie
Kai,79,kai.ie
Christopher,77,christopher.ie
George,77,george.ie
Luca,77,luca.ie
Lorcan,75,lorcan.ie
Zach,74,zach.ie
Meabh,72,meabh.ie
Heidi,72,heidi.ie
Dara,71,dara.ie
Isaac,71,isaac.ie
Jason,71,jason.ie
Sebastian,71,sebastian.ie
Mary,70,mary.ie
Lilly,70,lilly.ie
Mila,70,mila.ie
Georgia,68,georgia.ie
Rosie,68,rosie.ie
Peter,68,peter.ie
Daisy,67,daisy.ie
Antoni,67,antoni.ie
Eli,66,eli.ie
Victoria,65,victoria.ie
Blake,65,blake.ie
Alexandra,64,alexandra.ie
Ailbhe,64,ailbhe.ie
Arthur,64,arthur.ie
Filip,64,filip.ie
Jakub,64,jakub.ie
Theo,64,theo.ie
Lara,63,lara.ie
Tadgh,63,tadgh.ie
Brody,62,brody.ie
Freddie,62,freddie.ie
Mollie,61,mollie.ie
Rhys,61,rhys.ie
Orla,60,orla.ie
Isabel,60,isabel.ie
Alan,60,alan.ie
Frankie,60,frankie.ie
Daire,59,daire.ie
Sara,58,sara.ie
Matilda,58,matilda.ie
Zoey,58,zoey.ie
Aria,58,aria.ie
Archie,58,archie.ie
Joe,58,joe.ie
Nicole,57,nicole.ie
Muireann,57,muireann.ie
Lena,57,lena.ie
Evelyn,57,evelyn.ie
Caleb,57,caleb.ie
Harrison,57,harrison.ie
Hugh,57,hugh.ie
Hazel,56,hazel.ie
Madison,56,madison.ie
Hanna,56,hanna.ie
Lola,56,lola.ie
Poppy,56,poppy.ie
Jaxon,56,jaxon.ie
Aoibhe,54,aoibhe.ie
Esme,54,esme.ie
Penny,54,penny.ie
Pippa,54,pippa.ie
Oran,54,oran.ie
Ruairi,54,ruairi.ie
Alison,53,alison.ie
Bella,53,bella.ie
Eanna,53,eanna.ie
Niall,53,niall.ie
Nicholas,53,nicholas.ie
Tara,52,tara.ie
Brooke,52,brooke.ie
Maja,52,maja.ie
Mya,52,mya.ie
Paige,52,paige.ie
Jackson,52,jackson.ie
Padraig,52,padraig.ie
Sonny,51,sonny.ie
Caitlin,50,caitlin.ie
Eimear,50,eimear.ie
Zofia,50,zofia.ie
Lexi,50,lexi.ie
Alicja,50,alicja.ie
Cody,50,cody.ie
Seamus,50,seamus.ie
Stephen,50,stephen.ie
Charles,49,charles.ie
Elliot,49,elliot.ie
Hollie,48,hollie.ie
Conall,48,conall.ie
Joey,48,joey.ie
Micheal,48,micheal.ie
Riley,48,riley.ie
Cora,47,cora.ie
Kacper,47,kacper.ie
Tiernan,47,tiernan.ie
Doireann,46,doireann.ie
Dominic,46,dominic.ie
Eric,46,eric.ie
Kayden,46,kayden.ie
Aimee,45,aimee.ie
Jasmine,45,jasmine.ie
Ruth,45,ruth.ie
Elsie,45,elsie.ie
Denis,45,denis.ie
Alanna,44,alanna.ie
Natalia,44,natalia.ie
Siun,44,siun.ie
Phoebe,44,phoebe.ie
Brian,44,brian.ie
Maeve,43,maeve.ie
Lucia,43,lucia.ie
Darcy,43,darcy.ie
Harvey,43,harvey.ie
Kian,43,kian.ie
Orlaith,42,orlaith.ie
Elena,42,elena.ie
Nina,42,nina.ie
Annabelle,42,annabelle.ie
Christian,42,christian.ie
Zuzanna,41,zuzanna.ie
Jonah,41,jonah.ie
Maximilian,41,maximilian.ie
Reuben,41,reuben.ie
Richard,41,richard.ie
Shea,41,shea.ie
Zack,41,zack.ie
Adrian,40,adrian.ie
Casey,40,casey.ie
Gearoid,40,gearoid.ie
Eleanor,39,eleanor.ie
Fia,39,fia.ie
Ivy,39,ivy.ie
Paddy,39,paddy.ie
Philip,39,philip.ie
Ross,39,ross.ie
Jennifer,38,jennifer.ie
Hayley,38,hayley.ie
Diarmuid,38,diarmuid.ie
Gabriel,38,gabriel.ie
Lewis,38,lewis.ie
Jane,37,jane.ie
Laoise,37,laoise.ie
Aoibhin,37,aoibhin.ie
Oskar,37,oskar.ie
Alicia,36,alicia.ie
Naoise,36,naoise.ie
Nora,36,nora.ie
Calvin,36,calvin.ie
Lee,36,lee.ie
Katelyn,35,katelyn.ie
Isobel,35,isobel.ie
Michaela,35,michaela.ie
Juliette,35,juliette.ie
Eliza,35,eliza.ie
Bonnie,35,bonnie.ie
Lacey,35,lacey.ie
Donagh,35,donagh.ie
Iarla,35,iarla.ie
Jonathan,35,jonathan.ie
Paul,35,paul.ie
Reece,35,reece.ie
Shauna,34,shauna.ie
Ariana,34,ariana.ie
Florence,34,florence.ie
Corey,34,corey.ie
Dominik,34,dominik.ie
Jude,34,jude.ie
Robbie,34,robbie.ie
Siofra,33,siofra.ie
April,33,april.ie
Ada,33,ada.ie
Liliana,33,liliana.ie
Caolan,33,caolan.ie
Colm,33,colm.ie
Elijah,33,elijah.ie
Frank,33,frank.ie
Jan,33,jan.ie
Kayleigh,32,kayleigh.ie
Sinead,32,sinead.ie
Bridget,32,bridget.ie
Keeva,32,keeva.ie
Maia,32,maia.ie
Lillie,32,lillie.ie
Franciszek,32,franciszek.ie
Iarlaith,32,iarlaith.ie
Margaret,31,margaret.ie
Tess,31,tess.ie
Elise,31,elise.ie
Carter,31,carter.ie
Cooper,31,cooper.ie
Daragh,31,daragh.ie
Elliott,31,elliott.ie
Tiarnan,31,tiarnan.ie
Timothy,31,timothy.ie
Amelie,30,amelie.ie
Nadia,30,nadia.ie
Donal,30,donal.ie
Kieran,30,kieran.ie
Rowan,30,rowan.ie
Ruben,30,ruben.ie
Ted,30,ted.ie
Tristan,30,tristan.ie
Alyssa,29,alyssa.ie
Skye,29,skye.ie
Alexa,29,alexa.ie
Darcie,29,darcie.ie
Harley,29,harley.ie
Keelan,29,keelan.ie
Lukas,29,lukas.ie
Marcus,29,marcus.ie
Simon,29,simon.ie
Jade,28,jade.ie
Beth,28,beth.ie
Conan,28,conan.ie
Flynn,28,flynn.ie
Marcel,28,marcel.ie
Paidi,28,paidi.ie
Wiktor,28,wiktor.ie
Will,28,will.ie
Zac,28,zac.ie
Zachary,28,zachary.ie
Catherine,27,catherine.ie
Naomi,27,naomi.ie
Carla,27,carla.ie
Faith,27,faith.ie
Caragh,27,caragh.ie
Helena,27,helena.ie
Thea,27,thea.ie
Elodie,27,elodie.ie
Darren,27,darren.ie
Dean,27,dean.ie
Gavin,27,gavin.ie
Gerard,27,gerard.ie
Theodore,27,theodore.ie
Alex,26,alex.ie
Maggie,26,maggie.ie
Summer,26,summer.ie
Hailey,26,hailey.ie
Indie,26,indie.ie
Aiden,26,aiden.ie
Austin,26,austin.ie
Cameron,26,cameron.ie
Victor,26,victor.ie
Taylor,25,taylor.ie
Alisha,25,alisha.ie
Lana,25,lana.ie
Riley,25,riley.ie
Aleksander,25,aleksander.ie
Calum,25,calum.ie
Jesse,25,jesse.ie
Jordan,25,jordan.ie
Myles,25,myles.ie
Owen,25,owen.ie
Gabriela,24,gabriela.ie
Maebh,24,maebh.ie
Gracie,24,gracie.ie
Pola,24,pola.ie
Aodhan,24,aodhan.ie
Cole,24,cole.ie
Dawid,24,dawid.ie
Fabian,24,fabian.ie
Pearse,24,pearse.ie
Jodie,23,jodie.ie
Claire,23,claire.ie
Cassie,23,cassie.ie
Una,23,una.ie
Savannah,23,savannah.ie
Ayla,23,ayla.ie
Nancy,23,nancy.ie
Callie,23,callie.ie
Lottie,23,lottie.ie
Damian,23,damian.ie
Dan,23,dan.ie
Robin,23,robin.ie
Shannon,22,shannon.ie
Michelle,22,michelle.ie
Vanessa,22,vanessa.ie
Wiktoria,22,wiktoria.ie
Kathleen,22,kathleen.ie
Riona,22,riona.ie
Lydia,22,lydia.ie
Kara,22,kara.ie
Stella,22,stella.ie
Eloise,22,eloise.ie
Arya,22,arya.ie
Arlo,22,arlo.ie
Hunter,22,hunter.ie
Julian,22,julian.ie
Lochlann,22,lochlann.ie
Mikolaj,22,mikolaj.ie
Kaitlyn,21,kaitlyn.ie
Aaliyah,21,aaliyah.ie
Ana,21,ana.ie
Roise,21,roise.ie
Penelope,21,penelope.ie
Maci,21,maci.ie
Priya,21,priya.ie
Siomha,21,siomha.ie
Cayden,21,cayden.ie
Ezra,21,ezra.ie
Jay,21,jay.ie
Naoise,21,naoise.ie
Natan,21,natan.ie
Nicolas,21,nicolas.ie
Parker,21,parker.ie
Teddy,21,teddy.ie
Abby,20,abby.ie
Louise,20,louise.ie
Emer,20,emer.ie
Fatima,20,fatima.ie
Juliet,20,juliet.ie
Lexie,20,lexie.ie
Allie,20,allie.ie
Rosa,20,rosa.ie
Robin,20,robin.ie
Lillian,20,lillian.ie
Maddie,20,maddie.ie
Ali,20,ali.ie
Brandon,20,brandon.ie
Brendan,20,brendan.ie
Declan,20,declan.ie
Felix,20,felix.ie
Frederick,20,frederick.ie
Milo,20,milo.ie
Ruadhan,20,ruadhan.ie
Toby,20,toby.ie
Aideen,19,aideen.ie
Natalie,19,natalie.ie
Lia,19,lia.ie
Neasa,19,neasa.ie
Annabel,19,annabel.ie
Nell,19,nell.ie
Klara,19,klara.ie
Bruno,19,bruno.ie
Elias,19,elias.ie
Jayce,19,jayce.ie
Levi,19,levi.ie
Louie,19,louie.ie
Nikodem,19,nikodem.ie
Patryk,19,patryk.ie
Szymon,19,szymon.ie
Vincent,19,vincent.ie
Grainne,18,grainne.ie
Oliwia,18,oliwia.ie
Sorcha,18,sorcha.ie
Tori,18,tori.ie
Ali,18,ali.ie
Siobhan,18,siobhan.ie
Casey,18,casey.ie
Sasha,18,sasha.ie
Helen,18,helen.ie
Lea,18,lea.ie
Kyra,18,kyra.ie
Leila,18,leila.ie
Cadhla,18,cadhla.ie
Mae,18,mae.ie
Annalise,18,annalise.ie
Saibh,18,saibh.ie
Alexis,18,alexis.ie
Eden,18,eden.ie
Edith,18,edith.ie
Bradley,18,bradley.ie
Dawson,18,dawson.ie
Francis,18,francis.ie
Ibrahim,18,ibrahim.ie
Johnny,18,johnny.ie
Lachlan,18,lachlan.ie
Michal,18,michal.ie
Olly,18,olly.ie
Xavier,18,xavier.ie
Gemma,17,gemma.ie
Erica,17,erica.ie
Rhea,17,rhea.ie
Ria,17,ria.ie
Nessa,17,nessa.ie
Aisha,17,aisha.ie
Aoibh,17,aoibh.ie
Scarlett,17,scarlett.ie
Arianna,17,arianna.ie
Anastasia,17,anastasia.ie
Darcey,17,darcey.ie
Gabriella,17,gabriella.ie
Hallie,17,hallie.ie
Emmie,17,emmie.ie
Tilly,17,tilly.ie
Dillon,17,dillon.ie
Donnchadh,17,donnchadh.ie
Feidhlim,17,feidhlim.ie
Fiachra,17,fiachra.ie
Lennon,17,lennon.ie
Matas,17,matas.ie
Mateo,17,mateo.ie
Maxim,17,maxim.ie
Noel,17,noel.ie
Padraic,17,padraic.ie
Tymon,17,tymon.ie
Fiona,16,fiona.ie
Nicola,16,nicola.ie
Andrea,16,andrea.ie
Gabrielle,16,gabrielle.ie
Moya,16,moya.ie
Aleksandra,16,aleksandra.ie
Martha,16,martha.ie
Beibhinn,16,beibhinn.ie
Charlie,16,charlie.ie
Pearl,16,pearl.ie
Farrah,16,farrah.ie
Luna,16,luna.ie
Nevaeh,16,nevaeh.ie
Frankie,16,frankie.ie
Art,16,art.ie
Carson,16,carson.ie
Colin,16,colin.ie
Connor,16,connor.ie
Davin,16,davin.ie
Eamonn,16,eamonn.ie
Emmet,16,emmet.ie
Faolan,16,faolan.ie
Lochlan,16,lochlan.ie
Maksymilian,16,maksymilian.ie
Mateusz,16,mateusz.ie
Mohammad,16,mohammad.ie
Ruan,16,ruan.ie
Sean Og,16,sean og.ie
Tobias,16,tobias.ie
Heather,15,heather.ie
Kelsey,15,kelsey.ie
Karolina,15,karolina.ie
Teagan,15,teagan.ie
Carly,15,carly.ie
Ally,15,ally.ie
Sadbh,15,sadbh.ie
Edie,15,edie.ie
Lyla,15,lyla.ie
Maryam,15,maryam.ie
Eliana,15,eliana.ie
Mackenzie,15,mackenzie.ie
Arabella,15,arabella.ie
Maisy,15,maisy.ie
Andy,15,andy.ie
Aron,15,aron.ie
Conn,15,conn.ie
Culann,15,culann.ie
Grayson,15,grayson.ie
Jaxson,15,jaxson.ie
Joel,15,joel.ie
Matei,15,matei.ie
Mikey,15,mikey.ie
Mohammed,15,mohammed.ie
Nathaniel,15,nathaniel.ie
Olivier,15,olivier.ie
Omar,15,omar.ie
Quinn,15,quinn.ie
Stefan,15,stefan.ie
Melissa,14,melissa.ie
Libby,14,libby.ie
Katherine,14,katherine.ie
Nikola,14,nikola.ie
Diana,14,diana.ie
Tia,14,tia.ie
Daria,14,daria.ie
Melanie,14,melanie.ie
Beatrice,14,beatrice.ie
Emilie,14,emilie.ie
Imogen,14,imogen.ie
Madeline,14,madeline.ie
